Timestamp;Type;ID;Data
11T082554602;1;cf00203;cd402800043828ff
11T082554603;1;18fdaefe;fcffff7dffffffff
11T082554604;1;cf00400;f4dede3028fff0ff
11T082554604;1;18fee527;be7a0400d8b60e00
11T082554606;1;cef27fd;20fffae1ff00ffff
11T082554611;1;c000003;ecffffffffffffff
11T082554612;1;cf00203;cdf0270004d827ff
11T082554612;1;c00000b;fcffff7dffffffff
11T082554613;1;c010305;ccfffaffff20440a
11T082554614;1;18f0093e;697d7f637d577f7d
11T082554614;1;cf00400;f4dede1028fff0ff
11T082554615;1;18febf0b;13577d7d8481ffff
11T082554615;1;18feee00;7cffcb2effffffff
11T082554616;1;cf004fe;20fffae1ff00ffff
11T082554621;1;c000003;ecffffffffffffff
11T082554622;1;cf00203;cd40280004e027ff
11T082554622;1;c00000b;fcffff7dffffffff
11T082554623;1;cf00400;f4dede1028fff0ff
11T082554624;1;18ebff27;01ffffffffffffff
11T082554624;1;18fe7027;ffff6f0effffff0d
11T082554625;1;18fdaefe;ffe471ffffffffff
11T082554625;1;18fef227;70058202ffffffff
11T082554626;1;cef27fd;20fffae1ff00ffff
11T082554631;1;cfe5a2f;1f33330ffff7fcf0
11T082554631;1;c000003;ecffffffffffffff
11T082554632;1;18fe592f;ffffffffdd7ce37c
11T082554632;1;cf00203;cd182800045828ff
11T082554633;1;cf004fe;fcffff7dffffffff
11T082554634;1;c001027;fcffff7dffffffff
11T082554634;1;18e4c820;ffffffffffffffff
11T082554635;1;cf00400;f4dede1028fff0ff
11T082554635;1;18f00010;f07d7dfc10ffff1d
11T082554636;1;18f0093e;6b7d7f6b7d2f7f7e
11T082554636;1;cef27fd;20fffae1ff00ffff
11T082554637;1;18fe4a03;fffdffffffffffff
11T082554638;1;18febf0b;15577d7d8382ffff
11T082554638;1;18daee17;0322f92300000000
11T082554639;1;cfe6cee;4b10c0c04f289957
11T082554639;1;1cfec703;fffffffffffc0000
11T082554641;1;c000003;ecffffffffffffff
11T082554642;1;cf00203;cd182800045028ff
11T082554642;1;18f00503;89e80389878988f5
11T082554643;1;c00000b;fcffff7dffffffff
11T082554643;1;cf00300;f0de63fffffff4ff
11T082554644;1;c00270b;fcffff7dffffffff
11T082554645;1;18ebff29;010301001966004b
11T082554645;1;cf00400;f4dede1028fff0ff
11T082554646;1;cef27fd;20fffae1ff00ffff
11T082554647;1;cffcafd;c0fffffffffff800
11T082554649;1;c0320c8;ceffd357ffffffff
11T082554651;1;c000003;ecffffffffffffff
11T082554652;1;c002903;10ffffffffffffff
11T082554652;1;cf00203;cd402800041028ff
11T082554653;1;c00000b;fcffff7dffffffff
11T082554653;1;cf00400;f4dede1028fff0ff
11T082554654;1;18f0093e;6d7d7f737d077f7e
11T082554654;1;18fef100;43b357c40059e03f
11T082554655;1;18febf0b;15577d7d8281ffff
11T082554656;1;cef27fd;20fffae1ff00ffff
11T082554659;1;18fec4c8;ced1cf4ff622ffff
11T082554661;1;c000003;ecffffffffffffff
11T082554662;1;18fdaefe;cd202800040028ff
11T082554663;1;c010305;ccfffaffff20440a
11T082554663;1;c00000b;fcffff7dffffffff
11T082554664;1;cf00400;f4dede3028fff0ff
11T082554664;1;18f0010b;0000c0ffff01fff3
11T082554665;1;18ea2721;e9fe00
11T082554602;1;18fef1fe;cd402800043828ff
11T082554666;1;cef27fd;20fffae1ff00ffff
11T082554669;1;18fec6c8;7f000000ffffffa1
11T082554671;1;c000003;ecffffffffffffff
11T082554672;1;cf00203;cd702800047028ff
11T082554673;1;cf00400;f4dede4028fff0ff
11T082554673;1;c00000b;fcffff7dffffffff
11T082554674;1;18ebff27;02ffffffffffffff
11T082554674;1;18f0093e;6f7d7f7b7ddf7e7d
11T082554675;1;18f00027;f07dffffffffffff
11T082554675;1;18febf0b;18577d7d8281ffff
11T082554676;1;cef27fd;20fffae1ff00ffff
11T082554681;1;c000003;ecffffffffffffff
11T082554682;1;cf00203;cd202800045828ff
11T082554683;1;c00000b;fcffff7dffffffff
11T082554683;1;c001027;fcffff7dffffffff
11T082554684;1;cf00400;f4dede4028fff0ff
11T082554685;1;18ffa121;0000cfff7cff77ff
11T082554686;1;cd22f21;7f00f0ffffffffff
11T082554686;1;cd2c821;ff00ffffffffffff
11T082554687;1;cef27fd;20fffae1ff00ffff
11T082554688;1;cfe6cee;4b10c0c031286657
11T082554689;1;18e520c8;ffffffffffffffff
11T082554691;1;c000003;ecffffffffffffff
11T082554692;1;cf00203;cd682800044028ff
11T082554693;1;cf00300;f0de63fffffff4ff
11T082554693;1;c00000b;fcffff7dffffffff
11T082554694;1;18ebff29;0227401f5dc02b3f
11T082554694;1;18f0093e;717d7f7f7db77e7d
11T082554695;1;cf00400;f4dede5028fff0ff
11T082554695;1;18febf0b;0c577d7d8382ffff
11T082554696;1;18f00029;f07d7df0fffff048
11T082554697;1;c00270b;fcffff7dffffffff
11T082554697;1;cef27fd;20fffae1ff00ffff
11T082554698;1;cffcafd;c0fffffffffff800
11T082554698;1;18da17ee;0562f92300afffff
11T082554699;1;18fead0b;00000000ffffffff
11T082554699;1;18fdc40b;03ffffffffffffff
11T082554700;1;18fe4f3e;f400ffffffffffff
11T082554701;1;18fe5cc8;ffffffff20b82eff
11T082554701;1;c000003;ecffffffffffffff
11T082554702;1;c002903;10ffffffffffffff
11T082554703;1;cf00400;f4dede5028fff0ff
11T082554703;1;cf00203;cd282800043028ff
11T082554704;1;c00000b;fcffff7dffffffff
11T082554706;1;cef27fd;20fffae1ff00ffff
11T082554711;1;c000003;ecffffffffffffff
11T082554711;1;cf00203;cdf82700043828ff
11T082554713;1;c010305;ccfffaffff20440a
11T082554713;1;c00000b;fcffff7dffffffff
11T082554714;1;cf00400;f4dede5028fff0ff
11T082554714;1;18f0093e;737d7f837d9f7e7d
11T082554715;1;18febf0b;fa567d7d8482ffff
11T082554716;1;cef27fd;20fffae1ff00ffff
11T082554721;1;c000003;ecffffffffffffff
11T082554722;1;cf00203;cd482800042028ff
11T082554723;1;18fda8fe;fcffff7dffffffff
